"type","value","label","description"
"typo_domain","amazn.com","phishing","Typo of Amazon"
"typo_domain","amazonn.com","phishing","Typo of Amazon"
"typo_domain","amaz0n.net","phishing","Typo of Amazon"
"typo_domain","g00gle.com","phishing","Typo of Google"
"typo_domain","go0gle.com","phishing","Typo of Google"
"typo_domain","goog1e.com","phishing","Typo of Google"
"typo_domain","googie.com","phishing","Typo of Google"
"typo_domain","goggle.com","phishing","Typo of Google"
"typo_domain","faceb00k.com","phishing","Typo of Facebook"
"typo_domain","facbook.com","phishing","Typo of Facebook"
"typo_domain","facebok.com","phishing","Typo of Facebook"
"typo_domain","app1e.com","phishing","Typo of Apple"
"typo_domain","aple.com","phishing","Typo of Apple"
"typo_domain","appl3.com","phishing","Typo of Apple"
"typo_domain","micros0ft.com","phishing","Typo of Microsoft"
"typo_domain","m1crosoft.com","phishing","Typo of Microsoft"
"typo_domain","microsft.com","phishing","Typo of Microsoft"
"typo_domain","netf1ix.com","phishing","Typo of Netflix"
"typo_domain","netfIix.com","phishing","Typo of Netflix"
"typo_domain","netflixx.com","phishing","Typo of Netflix"
"typo_domain","1inkedin.com","phishing","Typo of LinkedIn"
"typo_domain","linkedln.com","phishing","Typo of LinkedIn"
"typo_domain","linkediin.com","phishing","Typo of LinkedIn"
"typo_domain","1nstagram.com","phishing","Typo of Instagram"
"typo_domain","instagran.com","phishing","Typo of Instagram"
"typo_domain","instagarm.com","phishing","Typo of Instagram"
"typo_domain","tw1tter.com","phishing","Typo of Twitter"
"typo_domain","twltter.com","phishing","Typo of Twitter"
"typo_domain","twitt3r.com","phishing","Typo of Twitter"
"typo_domain","twiter.com","phishing","Typo of Twitter"
"typo_domain","dr0pbox.com","phishing","Typo of Dropbox"
"typo_domain","dropb0x.com","phishing","Typo of Dropbox"
"typo_domain","dropboxx.com","phishing","Typo of Dropbox"
"typo_domain","whatsap.com","phishing","Typo of WhatsApp"
"typo_domain","whatsaap.com","phishing","Typo of WhatsApp"
"typo_domain","whatsap1.com","phishing","Typo of WhatsApp"
"typo_domain","ste4m.com","phishing","Typo of Steam"
"typo_domain","steamcommumity.com","phishing","Typo of Steam"
"typo_domain","steamcommnity.com","phishing","Typo of Steam"
"typo_domain","steampoweredd.com","phishing","Typo of Steam"
"typo_domain","eb4y.com","phishing","Typo of eBay"
"typo_domain","ebayy.com","phishing","Typo of eBay"
"typo_domain","3bay.com","phishing","Typo of eBay"
"typo_domain","ch4se.com","phishing","Typo of Chase"
"typo_domain","chasse.com","phishing","Typo of Chase"
"typo_domain","chace.com","phishing","Typo of Chase"
"typo_domain","coinb4se.com","phishing","Typo of Coinbase"
"typo_domain","coinbas3.com","phishing","Typo of Coinbase"
"typo_domain","coinbasse.com","phishing","Typo of Coinbase"
"typo_domain","bin4nce.com","phishing","Typo of Binance"
"typo_domain","binanc3.com","phishing","Typo of Binance"
"typo_domain","binannce.com","phishing","Typo of Binance"
"typo_domain","venm0.com","phishing","Typo of Venmo"
"typo_domain","venno.com","phishing","Typo of Venmo"
"typo_domain","v3nmo.com","phishing","Typo of Venmo"
"typo_domain","c4shapp.com","phishing","Typo of Cash App"
"typo_domain","cash4pp.com","phishing","Typo of Cash App"
"typo_domain","cashap.com","phishing","Typo of Cash App"
"typo_domain","g1thub.com","phishing","Typo of GitHub"
"typo_domain","githu6.com","phishing","Typo of GitHub"
"typo_domain","githb.com","phishing","Typo of GitHub"
"typo_domain","sp0tify.com","phishing","Typo of Spotify"
"typo_domain","spot1fy.com","phishing","Typo of Spotify"
"typo_domain","spotiffy.com","phishing","Typo of Spotify"
"typo_domain","b4nk.com","phishing","Typo of Bank"
"typo_domain","bankk.com","phishing","Typo of Bank"
"typo_domain","bannk.com","phishing","Typo of Bank"
"suspicious_tld",".xyz","phishing","Suspicious TLD often used in phishing"
"suspicious_tld",".ru","phishing","Russian TLD often used in phishing"
"suspicious_tld",".tk","phishing","Tokelau TLD often used in phishing"
"suspicious_tld",".ml","phishing","Mali TLD often used in phishing"
"suspicious_tld",".ga","phishing","Gabon TLD often used in phishing"
"suspicious_tld",".cf","phishing","Central African Republic TLD used in phishing"
"suspicious_tld",".gq","phishing","Equatorial Guinea TLD used in phishing"
"suspicious_tld",".pw","phishing","Palau TLD often used in phishing"
"suspicious_tld",".cc","phishing","Cocos Islands TLD used in phishing"
"suspicious_tld",".su","phishing","Soviet Union TLD still used in phishing"
"suspicious_tld",".top","phishing","Popular TLD for phishing sites"
"suspicious_tld",".work","phishing","Suspicious TLD"
"suspicious_tld",".click","phishing","Suspicious TLD"
"suspicious_tld",".loan","phishing","Suspicious TLD"
"suspicious_tld",".online","phishing","Suspicious TLD"
"suspicious_tld",".site","phishing","Suspicious TLD"
"suspicious_tld",".buzz","phishing","Suspicious TLD"
"suspicious_tld",".icu","phishing","Suspicious TLD"
"brand_keyword","paypal","phishing","Brand name - verify domain authenticity"
"brand_keyword","amazon","phishing","Brand name - verify domain authenticity"
"brand_keyword","google","phishing","Brand name - verify domain authenticity"
"brand_keyword","facebook","phishing","Brand name - verify domain authenticity"
"brand_keyword","apple","phishing","Brand name - verify domain authenticity"
"brand_keyword","microsoft","phishing","Brand name - verify domain authenticity"
"brand_keyword","netflix","phishing","Brand name - verify domain authenticity"
"brand_keyword","linkedin","phishing","Brand name - verify domain authenticity"
"brand_keyword","instagram","phishing","Brand name - verify domain authenticity"
"brand_keyword","twitter","phishing","Brand name - verify domain authenticity"
"brand_keyword","dropbox","phishing","Brand name - verify domain authenticity"
"brand_keyword","whatsapp","phishing","Brand name - verify domain authenticity"
"brand_keyword","steam","phishing","Brand name - verify domain authenticity"
"brand_keyword","ebay","phishing","Brand name - verify domain authenticity"
"brand_keyword","chase","phishing","Brand name - verify domain authenticity"
"brand_keyword","bank","phishing","Brand name - verify domain authenticity"
"brand_keyword","coinbase","phishing","Brand name - verify domain authenticity"
"brand_keyword","binance","phishing","Brand name - verify domain authenticity"
"brand_keyword","venmo","phishing","Brand name - verify domain authenticity"
"brand_keyword","cashapp","phishing","Brand name - verify domain authenticity"
"brand_keyword","github","phishing","Brand name - verify domain authenticity"
"brand_keyword","spotify","phishing","Brand name - verify domain authenticity"
"suspicious_word","urgent","phishing","Phishing email trigger word"
"suspicious_word","verify","phishing","Phishing email trigger word"
"suspicious_word","click","phishing","Phishing email trigger word"
"suspicious_word","password","phishing","Phishing email trigger word"
"suspicious_word","bank","phishing","Phishing email trigger word"
"suspicious_word","account","phishing","Phishing email trigger word"
"suspicious_word","suspended","phishing","Phishing email trigger word"
"suspicious_word","login","phishing","Phishing email trigger word"
"suspicious_word","win","phishing","Phishing email trigger word"
"suspicious_word","free","phishing","Phishing email trigger word"
"suspicious_word","offer","phishing","Phishing email trigger word"
"suspicious_word","confirm","phishing","Phishing email trigger word"
"suspicious_word","update","phishing","Phishing email trigger word"
"suspicious_word","security","phishing","Phishing email trigger word"
"suspicious_word","alert","phishing","Phishing email trigger word"
"suspicious_word","locked","phishing","Phishing email trigger word"
"suspicious_word","unusual","phishing","Phishing email trigger word"
"suspicious_word","suspicious","phishing","Phishing email trigger word"
"suspicious_word","unauthorized","phishing","Phishing email trigger word"
"suspicious_word","expire","phishing","Phishing email trigger word"
"suspicious_word","expired","phishing","Phishing email trigger word"
"suspicious_word","immediately","phishing","Phishing email trigger word"
"suspicious_word","action","phishing","Phishing email trigger word"
"suspicious_word","required","phishing","Phishing email trigger word"
"suspicious_word","limited","phishing","Phishing email trigger word"
"suspicious_word","restricted","phishing","Phishing email trigger word"
"suspicious_word","compromised","phishing","Phishing email trigger word"
"suspicious_word","hacked","phishing","Phishing email trigger word"
"suspicious_word","stolen","phishing","Phishing email trigger word"
"suspicious_word","fraud","phishing","Phishing email trigger word"
"suspicious_word","scam","phishing","Phishing email trigger word"
"suspicious_word","claim","phishing","Phishing email trigger word"
"suspicious_word","reward","phishing","Phishing email trigger word"
"suspicious_word","prize","phishing","Phishing email trigger word"
"suspicious_word","winner","phishing","Phishing email trigger word"
"suspicious_word","congratulations","phishing","Phishing email trigger word"
"suspicious_word","lottery","phishing","Phishing email trigger word"
"suspicious_word","inheritance","phishing","Phishing email trigger word"
"suspicious_word","million","phishing","Phishing email trigger word"
"suspicious_word","bitcoin","phishing","Phishing email trigger word"
"suspicious_word","crypto","phishing","Phishing email trigger word"
"phishing_pattern","urgent verify your account","phishing","Phishing message pattern"
"phishing_pattern","click here now","phishing","Phishing message pattern"
"phishing_pattern","account suspended","phishing","Phishing message pattern"
"phishing_pattern","password expired","phishing","Phishing message pattern"
"phishing_pattern","security alert","phishing","Phishing message pattern"
"phishing_pattern","confirm your identity","phishing","Phishing message pattern"
"phishing_pattern","unauthorized access","phishing","Phishing message pattern"
"phishing_pattern","verify your bank","phishing","Phishing message pattern"
"phishing_pattern","you have won","phishing","Phishing message pattern"
"phishing_pattern","click to claim","phishing","Phishing message pattern"
"phishing_pattern","immediate action required","phishing","Phishing message pattern"
"phishing_pattern","your account was hacked","phishing","Phishing message pattern"
"phishing_pattern","transfer funds to","phishing","Phishing message pattern"
"phishing_pattern","send payment immediately","phishing","Phishing message pattern"
"phishing_pattern","verify your identity now","phishing","Phishing message pattern"
"phishing_pattern","your computer has virus","phishing","Phishing message pattern"
"phishing_pattern","bitcoin investment","phishing","Phishing message pattern"
"phishing_pattern","free money offer","phishing","Phishing message pattern"
"phishing_pattern","guaranteed returns","phishing","Phishing message pattern"
"phishing_pattern","nigerian prince","phishing","Phishing message pattern"
"phishing_pattern","irs tax refund","phishing","Phishing message pattern"
"phishing_pattern","social security number","phishing","Phishing message pattern"
"phishing_pattern","ssn verification","phishing","Phishing message pattern"
"email_sample","Subject: verify your paypal account now click here http://paypa1-secure.com/verify","phishing","Phishing email example"
"email_sample","Subject: your amazon account has been suspended click to restore http://amazon-secure-login.com","phishing","Phishing email example"
"email_sample","Subject: verify your bank account immediately http://yourbank.com.verify-account.net","phishing","Phishing email example"
"email_sample","Subject: microsoft security alert click here http://microsoft-verify.secure-portal.xyz","phishing","Phishing email example"
"email_sample","Subject: apple id locked for security reasons https://appleid-secure.com/recovery","phishing","Phishing email example"
"email_sample","Subject: netflix subscription expired update payment http://netf1ix-billing.tk","phishing","Phishing email example"
"email_sample","Subject: facebook security alert your account was accessed http://facebook-login-secure.ru","phishing","Phishing email example"
"email_sample","Subject: you have won 500000 dollars click http://lottery-winning.tk","phishing","Phishing email example"
"email_sample","Subject: your bitcoin investment 500 percent return click http://bitcoin-invest.xyz","phishing","Phishing email example"
"email_sample","Subject: urgent transfer 5000 dollars to this account http://transfer-funds.tk","phishing","Phishing email example"
"email_sample","Subject: dear winner you have won one million dollars click http://winner-claim.tk to claim","phishing","Phishing email example"
"email_sample","Subject: your package cannot be delivered http://fedex-delivery-verify.ru","phishing","Phishing email example"
"email_sample","Subject: 192.168.45.67 login attempt detected click http://192.168.45.67/secure","phishing","Phishing email example"
"email_sample","Subject: tax refund direct deposit irs.gov click https://www.irs.gov/refunds","safe","Legitimate email example"
"email_sample","Subject: your amazon order shipped tracking https://www.amazon.com/track","safe","Legitimate email example"
"email_sample","Subject: paypal money request from john https://www.paypal.com/inbox","safe","Legitimate email example"
"email_sample","Subject: your netflix recommendation https://www.netflix.com/browse","safe","Legitimate email example"
"email_sample","Subject: apple receipt for your purchase https://reportaproblem.apple.com","safe","Legitimate email example"
"email_sample","Subject: microsoft teams meeting invitation https://teams.microsoft.com","safe","Legitimate email example"
"email_sample","Subject: your bank statement available https://www.chase.com/online","safe","Legitimate email example"
"email_sample","Subject: coinbase price alert https://www.coinbase.com/price","safe","Legitimate email example"
"email_sample","Subject: your uber eats order https://www.ubereats.com/orders","safe","Legitimate email example"
